Switzerland,509.04
Norway,444.58
Luxembourg,509.04
Denmark,851.99
Japan,695.73
Israel,652.90
Ireland,916.85
Australia,-1
France,-1
Sweden,2185.03
New Zealand,1019.01
Belgium,4568.00
Netherlands,270.40
Austria,939.58
Italy,-1
United Kingdom,374.54
Germany,-1
United States,-1
Canada,280.43
Qatar,-1
Greece,-1
Spain,1982.23
Jamaica,-1
Cyprus,621.89
Lebanon,534.69
Bahrain,770.61
Portugal,516.51
Chile,921.03
Jordan,485.90
Croatia,1016.47
Argentina,-1
Panama,-1
Brazil,-1
Czech Republic,-1
Zimbabwe,1450.87
Oman,1511.60
Thailand,1842.50
Hungary,491.83
South Africa,-1
Dominican Republic,-1
El Salvador,379.65
Saudi Arabia,867.95
Guatemala,-1
Zambia,1163.12
Cambodia,695.73
Poland,664.85
Tanzania,1217.27
Malaysia,801.27
China,667.36
Ecuador,-1
Turkey,781.90
Bulgaria,552.53
Indonesia,865.09
Peru,628.32
Vietnam,703.69
Kenya,1018.10
Albania,1000.58
Morocco,776.85
Bolivia,-1
Philippines,675.73
Colombia,484.04
Nigeria,1011.10
Sri Lanka,695.73
Kazakhstan,634.93
Mexico,295.97
Armenia,627.90
Uganda,1038.29
Nepal,-1
Algeria,1811.44
Azerbaijan,566.26
Tunisia,3584.14
India,941.85
Ukraine,571.51
